instance,2007_INDU-minisat-sat07,2007_INDU-mxc,2007_INDU-picosat-535
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1225297-tseitin.cnf,SAT:1.80072:1.80072:5000.0:0,SAT:1.62075:1.62075:5000.0:0,SAT:3.44848:3.44848:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1228572-tseitin.cnf,SAT:7.1959:7.1959:5000.0:0,SAT:3.69044:3.69044:5000.0:0,SAT:3.22251:3.22251:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1225238-tseitin.cnf,SAT:1.09283:1.09283:5000.0:0,SAT:1.24481:1.24481:5000.0:0,SAT:2.95555:2.95555:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1225819-tseitin.cnf,SAT:2.6436:2.6436:5000.0:0,SAT:12.6921:12.6921:5000.0:0,SAT:8.02978:8.02978:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228447-tseitin.cnf,SAT:8.83666:8.83666:5000.0:0,SAT:3.57346:3.57346:5000.0:0,SAT:10.9523:10.9523:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc4322-tseitin.cnf,SAT:192.732:192.732:5000.0:0,SAT:123.334:123.334:5000.0:0,SAT:43.6144:43.6144:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin.cnf,SAT:1.17382:1.17382:5000.0:0,SAT:0.562913:0.562913:5000.0:0,SAT:4.00339:4.00339:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc7701-tseitin.cnf,SAT:35.7206:35.7206:5000.0:0,SAT:9.62054:9.62054:5000.0:0,SAT:8.14076:8.14076:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-innfeed_innfeed_vc36608-tseitin.cnf,SAT:3.80942:3.80942:5000.0:0,SAT:1.59776:1.59776:5000.0:0,SAT:0.97985:0.97985:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-innfeed_innfeed_vc37051-tseitin.cnf,SAT:3.12252:3.12252:5000.0:0,SAT:265.971:265.971:5000.0:0,SAT:1.27281:1.27281:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-src_wget_vc17912-tseitin.cnf,SAT:545.253:545.253:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:6.06808:6.06808:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_2.cnf,SAT:1036.53:1036.53:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/kullmann/AES/Benchmarks/64/aes_64_1_keyfind_2.cnf,SAT:260.037:260.037:5000.0:0,SAT:61.7756:61.7756:5000.0:0,SAT:1173.88:1173.88:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/leberre/2dimensionalstrippacking/E03X18.cnf,SAT:17.9513:17.9513:5000.0:0,SAT:5.01824:5.01824:5000.0:0,SAT:26.573:26.573:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/leberre/2dimensionalstrippacking/E04F17.cnf,SAT:3.89941:3.89941:5000.0:0,SAT:8.20975:8.20975:5000.0:0,SAT:17.7883:17.7883:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.130-NOTKNOWN.cnf,SAT:1100.63:1100.63:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1625.23:1625.23:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.140-NOTKNOWN.cnf,SAT:113.575:113.575:5000.0:0,SAT:1656.35:1656.35:5000.0:0,SAT:232.369:232.369:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.150-NOTKNOWN.cnf,SAT:89.9723:89.9723:5000.0:0,SAT:441.804:441.804:5000.0:0,SAT:101.3:101.3:5000.0:0
