instance,2009_INDU-clasp-1.2.0-SAT09,2009_INDU-kw,2009_INDU-manysat,2009_INDU-minisat,2009_INDU-minisat-cumrp,2009_INDU-minisat09z,2009_INDU-precosat-236-3e7a3f8-090322
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvrod6x8p2-tseitin.cnf,SAT:15.3827:15.3827:5000.0:0,SAT:25.9501:25.9501:5000.0:0,SAT:136.376:136.376:5000.0:0,SAT:10.7344:10.7344:5000.0:0,SAT:54.8437:54.8437:5000.0:0,SAT:54.3467:54.3467:5000.0:0,SAT:13.26:13.26:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc331235-tseitin.cnf,SAT:5.05823:5.05823:5000.0:0,SAT:13.347:13.347:5000.0:0,SAT:31.6822:31.6822:5000.0:0,SAT:4.35534:4.35534:5000.0:0,SAT:12.5561:12.5561:5000.0:0,SAT:14.1928:14.1928:5000.0:0,SAT:20.8248:20.8248:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc344392-tseitin.cnf,SAT:1.03084:1.03084:5000.0:0,SAT:4.85626:4.85626:5000.0:0,SAT:12.7041:12.7041:5000.0:0,SAT:2.14167:2.14167:5000.0:0,SAT:6.18106:6.18106:5000.0:0,SAT:4.32034:4.32034:5000.0:0,SAT:2.6386:2.6386:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc352372-tseitin.cnf,SAT:4.79827:4.79827:5000.0:0,SAT:10.1345:10.1345:5000.0:0,SAT:26.8479:26.8479:5000.0:0,SAT:3.68144:3.68144:5000.0:0,SAT:22.9455:22.9455:5000.0:0,SAT:12.1781:12.1781:5000.0:0,SAT:7.11692:7.11692:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1225297-tseitin.cnf,SAT:1.09883:1.09883:5000.0:0,SAT:4.88526:4.88526:5000.0:0,SAT:7.61184:7.61184:5000.0:0,SAT:1.48377:1.48377:5000.0:0,SAT:1.76973:1.76973:5000.0:0,SAT:3.98139:3.98139:5000.0:0,SAT:3.06353:3.06353:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1228572-tseitin.cnf,SAT:2.53361:2.53361:5000.0:0,SAT:6.96294:6.96294:5000.0:0,SAT:6.63299:6.63299:5000.0:0,SAT:2.15867:2.15867:5000.0:0,SAT:2.76958:2.76958:5000.0:0,SAT:4.03739:4.03739:5000.0:0,SAT:4.83526:4.83526:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1225238-tseitin.cnf,SAT:1.60675:1.60675:5000.0:0,SAT:4.05738:4.05738:5000.0:0,SAT:3.42548:3.42548:5000.0:0,SAT:1.25481:1.25481:5000.0:0,SAT:3.35449:3.35449:5000.0:0,SAT:2.94655:2.94655:5000.0:0,SAT:2.6076:2.6076:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1225819-tseitin.cnf,SAT:2.55861:2.55861:5000.0:0,SAT:6.596:6.596:5000.0:0,SAT:16.1036:16.1036:5000.0:0,SAT:2.56061:2.56061:5000.0:0,SAT:4.15037:4.15037:5000.0:0,SAT:6.17106:6.17106:5000.0:0,SAT:4.51131:4.51131:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228447-tseitin.cnf,SAT:2.6476:2.6476:5000.0:0,SAT:7.83681:7.83681:5000.0:0,SAT:8.81266:8.81266:5000.0:0,SAT:2.22366:2.22366:5000.0:0,SAT:2.05469:2.05469:5000.0:0,SAT:2.92255:2.92255:5000.0:0,SAT:3.67744:3.67744:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc4322-tseitin.cnf,SAT:10.5994:10.5994:5000.0:0,SAT:11.4813:11.4813:5000.0:0,SAT:18.1632:18.1632:5000.0:0,SAT:4.36833:4.36833:5000.0:0,SAT:21.6557:21.6557:5000.0:0,SAT:17.0684:17.0684:5000.0:0,SAT:12.3811:12.3811:5000.0:0
