instance,2011_INDU-LR_GL_SHR,2011_INDU-RestartSAT,2011_INDU-cir_minisat,2011_INDU-contrasat,2011_INDU-ebminisat,2011_INDU-glueminisat,2011_INDU-minisat,2011_INDU-minisat-2.2.0-agile-26,2011_INDU-rcl
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/medium-unsat/total-10-11-u.cnf,SAT:24.1093:24.1093:5000.0:0,SAT:29.5115:29.5115:5000.0:0,SAT:10.7834:10.7834:5000.0:0,SAT:25.2422:25.2422:5000.0:0,SAT:11.3373:11.3373:5000.0:0,SAT:31.6402:31.6402:5000.0:0,SAT:11.6062:11.6062:5000.0:0,SAT:15.1157:15.1157:5000.0:0,SAT:44.1263:44.1263:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/medium-unsat/total-10-13-u.cnf,SAT:845.442:845.442:5000.0:0,SAT:912.634:912.634:5000.0:0,SAT:607.693:607.693:5000.0:0,SAT:439.592:439.592:5000.0:0,SAT:639.839:639.839:5000.0:0,SAT:518.742:518.742:5000.0:0,SAT:632.664:632.664:5000.0:0,SAT:371.294:371.294:5000.0:0,SAT:866.852:866.852:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/dspam/dspam_dump_vc1081.cnf,SAT:0.530918:0.530918:5000.0:0,SAT:0.504922:0.504922:5000.0:0,SAT:0.6479:0.6479:5000.0:0,SAT:0.665898:0.665898:5000.0:0,SAT:0.45093:0.45093:5000.0:0,SAT:0.481925:0.481925:5000.0:0,SAT:0.486925:0.486925:5000.0:0,SAT:0.516921:0.516921:5000.0:0,SAT:1.51777:1.51777:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/dspam/dspam_dump_vc1104.cnf,SAT:1.26481:1.26481:5000.0:0,SAT:1.16982:1.16982:5000.0:0,SAT:1.86472:1.86472:5000.0:0,SAT:1.57176:1.57176:5000.0:0,SAT:1.07084:1.07084:5000.0:0,SAT:1.12483:1.12483:5000.0:0,SAT:1.14682:1.14682:5000.0:0,SAT:1.09883:1.09883:5000.0:0,SAT:4.41533:4.41533:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/dspam/dspam_dump_vc950.cnf,SAT:0.475927:0.475927:5000.0:0,SAT:0.45393:0.45393:5000.0:0,SAT:0.580911:0.580911:5000.0:0,SAT:0.644901:0.644901:5000.0:0,SAT:0.403937:0.403937:5000.0:0,SAT:0.434933:0.434933:5000.0:0,SAT:0.443932:0.443932:5000.0:0,SAT:0.463929:0.463929:5000.0:0,SAT:1.3188:1.3188:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/xinetd/itox_vc1033.cnf,SAT:1.36179:1.36179:5000.0:0,SAT:1.50777:1.50777:5000.0:0,SAT:1.45778:1.45778:5000.0:0,SAT:1.9357:1.9357:5000.0:0,SAT:1.41978:1.41978:5000.0:0,SAT:1.34779:1.34779:5000.0:0,SAT:1.59376:1.59376:5000.0:0,SAT:3.2975:3.2975:5000.0:0,SAT:3.9504:3.9504:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/xinetd/itox_vc1044.cnf,SAT:1.63575:1.63575:5000.0:0,SAT:1.74873:1.74873:5000.0:0,SAT:4.37533:4.37533:5000.0:0,SAT:5.9381:5.9381:5000.0:0,SAT:4.09738:4.09738:5000.0:0,SAT:1.3118:1.3118:5000.0:0,SAT:5.00224:5.00224:5000.0:0,SAT:4.89026:4.89026:5000.0:0,SAT:3.9584:3.9584:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/xinetd/itox_vc1130.cnf,SAT:1.55476:1.55476:5000.0:0,SAT:1.74473:1.74473:5000.0:0,SAT:8.93564:8.93564:5000.0:0,SAT:7.62884:7.62884:5000.0:0,SAT:3.82942:3.82942:5000.0:0,SAT:1.69074:1.69074:5000.0:0,SAT:10.2734:10.2734:5000.0:0,SAT:2.81057:2.81057:5000.0:0,SAT:4.07938:4.07938:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/babic/xinetd/itox_vc909.cnf,SAT:1.12983:1.12983:5000.0:0,SAT:1.42078:1.42078:5000.0:0,SAT:2.6326:2.6326:5000.0:0,SAT:5.13622:5.13622:5000.0:0,SAT:3.17152:3.17152:5000.0:0,SAT:1.16582:1.16582:5000.0:0,SAT:2.83957:2.83957:5000.0:0,SAT:1.65375:1.65375:5000.0:0,SAT:3.39148:3.39148:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/fuhs/medium/AProVE07-02.cnf,SAT:3902.82:3902.82:5000.0:0,SAT:1261.05:1261.05:5000.0:0,SAT:252.685:252.685:5000.0:0,SAT:275.46:275.46:5000.0:0,SAT:241.589:241.589:5000.0:0,SAT:574.702:574.702:5000.0:0,SAT:240.554:240.554:5000.0:0,SAT:164.085:164.085:5000.0:0,SAT:518.068:518.068:5000.0:0
